Field Name,Data Type,Description,Source Column,Destination Column
license_nbr,object,Description of license_nbr,license_nbr,license_nbr
license_type,object,Description of license_type,license_type,license_type
lic_expir_dd,object,Description of lic_expir_dd,lic_expir_dd,lic_expir_dd
license_status,object,Description of license_status,license_status,license_status
license_creation_date,object,Description of license_creation_date,license_creation_date,license_creation_date
industry,object,Description of industry,industry,industry
business_name,object,Description of business_name,business_name,business_name
address_building,object,Description of address_building,address_building,address_building
address_street_name,object,Description of address_street_name,address_street_name,address_street_name
address_city,object,Description of address_city,address_city,address_city
address_state,object,Description of address_state,address_state,address_state
address_zip,object,Description of address_zip,address_zip,address_zip
contact_phone,object,Description of contact_phone,contact_phone,contact_phone
address_borough,object,Description of address_borough,address_borough,address_borough
detail,float64,Description of detail,detail,detail
community_board,float64,Description of community_board,community_board,community_board
council_district,float64,Description of council_district,council_district,council_district
bin,float64,Description of bin,bin,bin
bbl,float64,Description of bbl,bbl,bbl
nta,object,Description of nta,nta,nta
census_tract,float64,Description of census_tract,census_tract,census_tract
longitude,float64,Description of longitude,longitude,longitude
latitude,float64,Description of latitude,latitude,latitude
location,object,Description of location,location,location
